name,injury date,return date,days missed,injury type,age,height,weight,reinjured
Terrence Ross,11 March 2021,14 March 2021,3,2,30,6-7,206,0
Eric Gordon,01 March 2021,11 March 2021,10,2,33,6-4,215,0
Jeremy Lamb,01 March 2021,03 March 2021,2,2,29,6-5,185,1
Jaylen Brown,28 February 2021,02 March 2021,2,2,25,6-7,225,0
Jaylen Brown,05 February 2021,09 February 2021,4,2,25,6-7,225,1
Nerlens Noel,06 February 2021,09 February 2021,3,2,27,6-11,228,0
Jamal Murray,06 February 2021,08 February 2021,2,2,24,6-4,207,0
Derrick Rose,23 January 2021,27 January 2021,4,2,33,6-3,190,0
John Wall,18 January 2021,23 January 2021,5,2,31,6-4,195,0
Derrick Rose,10 January 2021,16 January 2021,6,2,33,6-3,190,1
Rajon Rondo,05 January 2021,15 January 2021,10,2,35,6-1,186,0
Ben Simmons,09 January 2021,12 January 2021,3,2,25,6-10,230,1
Christian Wood,06 January 2021,08 January 2021,2,2,26,6-11,220,0
LaMarcus Aldridge,30 December 2020,05 January 2021,6,2,35,6-11,260,0
Rajon Rondo,31 December 2020,04 January 2021,4,2,34,6-1,186,1
Emmanuel Mudiay,13 August 2020,17 August 2020,4,2,24,6-5,200,0
Al Horford,11 August 2020,12 August 2020,1,2,34,6-10,245,0
